"","ID","trial","environment","mem","C_QuestionNum","SizeZ","CurZ"
"128",103,44,1,0,847,0.0201340366687015,0.119661095959474
"129",103,45,1,NA,253,-0.0156492465797805,0.152783583453541
"130",103,46,1,0,117,0.713436327619734,1.30486150447287
"131",103,47,1,1,237,0.123389117762194,1.28239510741935
"132",103,48,1,0,718,0.684320590565169,-0.788179812689554
"133",103,49,1,0,925,0.0917147393060058,-0.503990616107053
"134",103,51,1,0,47,0.590574419874025,-0.0262374172023122
"135",103,52,1,1,904,-0.257721225816581,0.100803037386218
"136",103,53,1,1,406,-0.351671118241941,-0.360682786235849
"137",103,54,1,1,203,1.77084417584031,1.11442368569896
"138",103,55,1,0,227,0.747527986074141,-1.04631886704577
"139",103,57,0,1,787,0.478964879839321,0.474072863431552
"140",103,58,0,1,292,0.198880819227026,0.911699556036414
"141",103,59,0,0,906,-0.552784883142982,-0.73976042706826
"142",103,60,0,1,714,-0.106681278325556,-0.342764289054917
"143",103,61,0,1,87,-0.296779381577269,-1.35617363433486
"144",103,62,0,NA,80,-0.345440688675909,-0.947355795980152
"145",103,63,0,0,554,0.0422193999272786,-1.29669947347901
"146",103,64,0,1,210,-0.605861378074626,0.423659984626575
"147",103,65,0,0,962,-0.168559876642526,-1.04010950629604
"148",103,66,0,1,200,-0.471450243670761,-0.977320743091879
"149",103,67,0,1,855,-0.800652679919371,-0.609393913588461
"150",103,68,0,0,893,-0.486147117578058,-1.31983737513272
"151",103,69,0,1,69,-0.593426286621802,-1.49471094606903
"152",103,70,0,1,795,-1.18832219261612,0.452820130753745
"153",103,71,0,1,288,-0.430573237852934,1.15774080742173
"154",103,72,0,0,888,-0.446283201817964,1.99965238522543
"155",103,74,0,1,661,-1.00416598035418,-0.133720955752815
"156",103,75,0,1,898,-1.29529268250327,-0.460586860140847
"157",103,76,0,0,954,-1.68105150032316,1.74102554101956
"158",103,77,0,1,130,-0.699956240227501,0.901303446822947
"159",103,78,0,1,969,-0.161402277583473,0.468132229595279
"160",103,79,0,0,115,-0.880248574129715,0.538873570450113
"161",103,80,0,1,85,-1.34013962782587,0.36788403360831
"162",103,81,0,NA,342,-1.2362389963235,-1.46693023200416
"163",103,82,0,1,534,-0.397753832029168,3.36896173376428
"164",103,83,0,NA,742,-1.09208507551373,1.45941036249313
"165",103,84,0,1,765,-1.60239801546884,-0.551869770307838
"166",103,85,0,1,894,-1.21102012195612,1.12720809027228
"167",103,86,0,NA,613,-0.756858917144629,0.164240520137758
"168",103,87,0,1,465,-0.483871198983244,1.76345520159535
"169",103,88,0,0,853,-0.782902399698534,-0.14799475810873
"170",103,89,0,0,951,-0.867290445484295,-0.317830531185231
"171",103,90,1,1,810,-0.36855327813256,-0.772953676508183
